week,avg_tg,avg_pmv,avg_ppd,qweek
W01,25.0002193,0.68644651,18.5984284,W01
W02,24.6915042,0.62031562,16.4112552,W02
W03,24.8686426,0.65488696,17.0394901,W03
W04,24.7628156,0.63215924,16.9841088,W04
W05,25.689689,0.86532555,24.6993733,W05
W06,24.8925787,0.65227948,17.4689436,W06
W07,24.9392473,0.62656033,17.1455262,W07
W08,24.4618708,0.54212049,14.4617108,W08
W09,24.6292144,0.57818446,15.6059483,W09
W10,24.6432828,0.58099765,15.4089882,W10
W11,24.3329564,0.51895069,13.3040412,W11
W12,24.255003,0.50652531,13.4820634,W12
W13,24.4151804,0.50925376,13.8545977,W13
