week,avg_tg,avg_pmv,avg_ppd
W40,23.9954165,-0.070457698,10.49481929
W41,24.10579834,-0.028137818,10.60817361
W42,24.17611674,-0.044210743,10.61989586
W43,24.51517446,0.050806633,10.86726195
W44,24.71005461,0.161927242,11.45792835
W45,24.52464183,0.013473968,10.89793537
W46,24.58629746,0.020900646,10.83138126
W47,24.50396487,0.073521239,10.41881699
W48,24.60633423,0.108701943,10.76457214
W49,24.53850032,0.048149751,11.12291712
W50,24.67655061,0.131936309,11.76058081
W51,24.51441348,0.07831923,11.18120805
W52,25.40811632,0.345408942,14.71755725
W53,24.2876266,-0.039258312,11.12634271
